NOC2016,noc_title_2016,NOC2006,noc_title_2006
4161,"Natural and applied science policy researchers, consultants and program officers",E031,"Natural and applied science policy researchers, consultants and program officers"
4162,Economists and economic policy researchers and analysts,E032,Economists and economic policy researchers and analysts
4163,Business development officers and marketing researchers and consultants,E033,Business development officers and marketing researchers and consultants
4164,"Social policy researchers, consultants and program officers",E034,"Social policy researchers, consultants and program officers"
4165,"Health policy researchers, consultants and program officers",E039,"Health policy researchers, consultants and program officers"
4166,"Education policy researchers, consultants and program officers",E035,"Education policy researchers, consultants and program officers"
4167,"Recreation, sports and fitness policy researchers, consultants and program officers",E036,"Recreation, sports and fitness program supervisors and consultants"
4168,Program officers unique to government,E037,Program officers unique to government
4169,"Other professional occupations in social science, n.e.c.",E038,"Other professional occupations in social science, n.e.c."
4211,Paralegal and related occupations,E211,Paralegal and related occupations
4212,Social and community service workers,E212,Community and social service workers
4214,Early childhood educators and assistants,E217,Early childhood educators and assistants
4215,Instructors of persons with disabilities,E214,Instructors and teachers of persons with disabilities
4216,Other instructors,E215,Other instructors
4217,Other religious occupations,E216,Other religious occupations
4311,Police officers (except commissioned),G611,Police officers (except commissioned)
4312,Firefighters,G612,Firefighters
4313,Non-commissioned ranks of the Canadian Forces,G624,"Other ranks, armed forces"
4411,Home child care providers,G814,"Babysitters, nannies and parents' helpers"
4412,"Home support workers, housekeepers and related occupations",G811,"Visiting homemakers, housekeepers and related occupations"
4413,Elementary and secondary school teacher assistants,G812,Elementary and secondary school teacher assistants
4421,Sheriffs and bailiffs,G621,Sheriffs and bailiffs
4422,Correctional service officers,G622,Correctional service officers
4423,"By-law enforcement and other regulatory officers, n.e.c.",G623,"By-law enforcement and other regulatory officers, n.e.c."
5111,Librarians,F011,Librarians
5112,Conservators and curators,F012,Conservators and curators
5113,Archivists,F013,Archivists
5121,Authors and writers,F021,Authors and writers
5122,Editors,F022,Editors
5123,Journalists,F023,Journalists
5125,"Translators, terminologists and interpreters",F025,"Translators, terminologists and interpreters"
5131,"Producers, directors, choreographers and related occupations",F031,"Producers, directors, choreographers and related occupations"
5132,"Conductors, composers and arrangers",F032,"Conductors, composers and arrangers"
5133,Musicians and singers,F033,Musicians and singers
5134,Dancers,F034,Dancers
5135,Actors and comedians,F035,Actors and comedians
5136,"Painters, sculptors and other visual artists",F036,"Painters, sculptors and other visual artists"
5211,Library and public archive technicians,F111,Library and archive technicians and assistants
5212,Technical occupations related to museums and art galleries,F112,Technical occupations related to museums and art galleries
5221,Photographers,F121,Photographers
5222,Film and video camera operators,F122,Film and video camera operators
5223,Graphic arts technicians,F123,Graphic arts technicians
5224,Broadcast technicians,F124,Broadcast technicians
5225,Audio and video recording technicians,F125,Audio and video recording technicians
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",F126,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",F127,"Support occupations in motion pictures, broadcasting and the performing arts"
5231,Announcers and other broadcasters,F131,Announcers and other broadcasters
5232,"Other performers, n.e.c.",F132,Other performers
5241,Graphic designers and illustrators,F141,Graphic designers and illustrators
5242,Interior designers and interior decorators,F142,Interior designers
5243,"Theatre, fashion, exhibit and other creative designers",F143,"Theatre, fashion, exhibit and other creative designers"
5244,Artisans and craftspersons,F144,Artisans and craftspersons
5245,"Patternmakers - textile, leather and fur products",F145,"Patternmakers - textile, leather and fur products"
5251,Athletes,F151,Athletes
5252,Coaches,F152,Coaches
5253,Sports officials and referees,F153,Sports officials and referees
5254,"Program leaders and instructors in recreation, sport and fitness",E036,"Recreation, sports and fitness program supervisors and consultants"
5254,"Program leaders and instructors in recreation, sport and fitness",F154,"Program leaders and instructors in recreation, sport and fitness"
6211,Retail sales supervisors,G011,Retail trade supervisors
6221,Technical sales specialists - wholesale trade,G121,Technical sales specialists - wholesale trade
6221,Technical sales specialists - wholesale trade,G134,Grain elevator operators
6222,Retail and wholesale buyers,G133,Retail and wholesale buyers
6231,Insurance agents and brokers,G131,Insurance agents and brokers
6232,Real estate agents and salespersons,G132,Real estate agents and salespersons
6235,Financial sales representatives,B112,Loan officers
6311,Food service supervisors,G012,Food service supervisors
6312,Executive housekeepers,G013,Executive housekeepers
6313,"Accommodation, travel, tourism and related services supervisors",G016,Other service supervisors
6313,"Accommodation, travel, tourism and related services supervisors",G723,Casino occupations
6314,Customer and information services supervisors,B412,"Supervisors, finance and insurance clerks"
6314,Customer and information services supervisors,B413,"Supervisors, library, correspondence and related information clerks"
6315,Cleaning supervisors,G015,Cleaning supervisors
6316,Other services supervisors,G014,Dry cleaning and laundry supervisors
6316,Other services supervisors,G016,Other service supervisors
6321,Chefs,G411,Chefs
6322,Cooks,G412,Cooks
6331,"Butchers, meat cutters and fishmongers - retail and wholesale",G941,"Butchers, meat cutters and fishmongers - retail and wholesale"
6332,Bakers,G942,Bakers
6341,Hairstylists and barbers,G911,Hairstylists and barbers
6342,"Tailors, dressmakers, furriers and milliners",H512,"Tailors, dressmakers, furriers and milliners"
6343,Shoe repairers and shoemakers,H513,Shoe repairers and shoemakers
6344,"Jewellers, jewellery and watch repairers and related occupations",H514,"Jewellers, watch repairers and related occupations"
6345,Upholsterers,H511,Upholsterers
6346,Funeral directors and embalmers,G912,Funeral directors and embalmers
6411,Sales and account representatives - wholesale trade (non-technical),G111,Sales representatives - wholesale trade (non-technical)
6421,Retail salespersons,G211,Retail salespersons and sales clerks
6511,Maîtres d'hôtel and hosts/hostesses,G511,Maîtres d'hôtel and hosts/hostesses
6512,Bartenders,G512,Bartenders
6513,Food and beverage servers,G513,Food and beverage servers
6521,Travel counsellors,G711,Travel counsellors
6522,Pursers and flight attendants,G712,Pursers and flight attendants
6523,Airline ticket and service agents,G713,Airline sales and service agents
6524,"Ground and water transport ticket agents, cargo service representatives and related clerks",G714,"Ticket agents, cargo service representatives and related clerks (except airline)"
6525,Hotel front desk clerks,G715,Hotel front desk clerks
6531,Tour and travel guides,G721,Tour and travel guides
6532,Outdoor sport and recreational guides,G722,Outdoor sport and recreational guides
6533,Casino occupations,G723,Casino occupations
6541,Security guards and related security service occupations,G625,Other protective service occupations
6541,Security guards and related security service occupations,G631,Security guards and related occupations
6551,Customer services representatives - financial institutions,B533,Customer service representatives - financial services
6552,Other customer and information services representatives,B553,"Customer service, information and related clerks"
6561,"Image, social and other personal consultants",G921,"Image, social and other personal consultants"
6562,"Estheticians, electrologists and related occupations",G922,"Estheticians, electrologists and related occupations"
6563,Pet groomers and animal care workers,G923,Pet groomers and animal care workers
6564,Other personal service occupations,G924,Other personal service occupations
6611,Cashiers,G311,Cashiers
6621,Service station attendants,G971,Service station attendants
6622,"Store shelf stockers, clerks and order fillers",G972,Grocery clerks and store shelf stockers
6623,Other sales related occupations,G973,Other elemental sales occupations
6711,"Food counter attendants, kitchen helpers and related support occupations",G961,"Food counter attendants, kitchen helpers and related occupations"
6721,"Support occupations in accommodation, travel and facilities set-up services",G732,Other attendants in accommodation and travel
6722,"Operators and attendants in amusement, recreation and sport",G731,"Operators and attendants in amusement, recreation and sport"
6731,Light duty cleaners,G931,Light duty cleaners
6732,Specialized cleaners,G932,Specialized cleaners
6733,"Janitors, caretakers and building superintendents",G933,"Janitors, caretakers and building superintendents"
6741,"Dry cleaning, laundry and related occupations",G981,Dry cleaning and laundry occupations
